Courses
;Year;Period;Code;Name;Section;Dept.;T;P;L;Cr;ECTS;Category;Lecturer;Room;Schedule;# of Students;Successfull;Unsuccessfull;Conditional;Withdrawn;Average;Staff ID;
;2025;2;ADA 403;Exploratory Data Analysis;ADA 403_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;6;Course;Mustafa Kerem Yüksel (S) ;D228;Fr 09 - 12;0;;;;;;00005657 (S);
;2025;2;ADA 423;Statistical Inference Methods with Applications;ADA 423_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;6;Course;Şafak Özden ;F410;Th 11 - 14;0;;;;;;5042;
;2025;2;ADA 442;Statistical Learning;ADA 442_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;6;Course;Hakan Emekci ;GB13-PC-L;Tu 13 - 16;0;;;;;;4212;
;2025;2;ADA 447;Introduction to Deep Learning;ADA 447_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;5;Course;Şafak Özden ;D228;Th 15 - 18;0;;;;;;5042;
;2025;2;ADA 449;Numerical Methods for Data Science;ADA 449_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;5;Course;Mustafa Kerem Yüksel (S) ;D026;Fr 13 - 16;0;;;;;;00005657 (S);
;2025;2;ARCH 102;Introduction to Architectural Design;ARCH 102_01;Department of Architecture;2;8;0;6;10;Course;Seray Türkay Coşkun , Gökhan Kınayoğlu , Nilay Karaköy Atay (S) , Onur Yüncü ;E310-MTF;Tu/Fr 13 - 15 Tu/Fr 09 - 12;0;;;;;;00001374 , 00000270 , 00005661 (S) , 00000328;
;2025;2;ARCH 112;Architectural Communication Techniques II;ARCH 112_01;Department of Architecture;2;2;0;3;6;Course;Çağrım Koçer , Afet Derin İnan Çınar ;E310-MTF;Th 09 - 13;0;;;;;;00001046 , 00000003;
;2025;2;ARCH 112-O;Architectural Communication Tech II;ARCH 112-O_1;Department of Architecture;2;2;0;3;5;Course;Çağrım Koçer , Afet Derin İnan Çınar ;E310-MTF;Th 09 - 13;0;;;;;;00001046 , 00000003;
;2025;2;ARCH 202;Architectural Design II;ARCH 202_01;Department of Architecture;2;8;0;6;11;Course;Zuhal Acar Metin (S) , Heves Beşeli , Anıl Eren İpek (S) , Afet Derin İnan Çınar ;E312-MTF;Tu/Fr 13 - 15 Tu/Fr 09 - 12;0;;;;;;00004162 (S) , 00000885 , 00003945 (S) , 00000003;
;2025;2;ARCH 222;History of Architecture II;ARCH 222_01;Department of Architecture;3;0;0;3;5;Course;Azize Elif Yabacı , Melis Acar ;D026;We 09 - 12;0;;;;;;00000011 , 00001047;
